Country,label,HExp_Pctage_Y,amount
Australia,Start,8.07,0
Australia,2007,8.07,8.07
Australia,2008,8.26,0.19
Australia,2009,8.56,0.3
Australia,2010,8.43,-0.13
Australia,2011,8.54,0.11
Australia,2012,8.68,0.14
Australia,2013,8.76,0.08
Australia,2014,9.04,0.28
Australia,End,7.61,0
Malaysia,Start,3.07,0
Malaysia,2007,3.07,3.07
Malaysia,2008,3.01,-0.06
Malaysia,2009,3.26,0.25
Malaysia,2010,3.16,-0.1
Malaysia,2011,3.31,0.15
Malaysia,2012,3.46,0.15
Malaysia,2013,3.51,0.05
Malaysia,2014,3.71,0.2
Malaysia,End,3.71,0
