Country_Name,Year,Deaths_All_Types,Deaths_Suicides,HExp_Pctage_Y,MHExp_Pctage_2011,Dep_Num_2015,Suicide_p100,Death_Rank,Rank_Category
China,2019,9980365,10,10.74,4.94,4.24,12.24,1,Top
India,2019,8714374,3,9.59,2.38,5.76,6.41,2,Top
United States,2019,2872375,10,11.7,11,5.19,8.27,3,Top
Indonesia,2019,2717365,72,4.74,2.29,3.46,3.41,4,Top
Russia,2019,1778365,0,3.79,4,4.39,7.95,5,Top
Brazil,2019,1736487,2,9.13,5,5.21,5.28,6,Top
Pakistan,2019,1470890,5,6.45,5.08,5.07,9.3,7,Top
Bangladesh,2019,1346732,1,9.91,7.64,5.94,11.25,8,Top
Nigeria,2019,1314647,2318,5.62,2.32,4.23,8.28,9,Top
Japan,2019,1310045,0,10.13,10.65,4.69,9.27,10,Top
Greece,2019,250032,0,7.84,4.43,5.74,3.62,12,Bottom
Bulgaria,2019,216166,3,7.13,1.4,5.16,6.5,13,Bottom
Georgia,2019,93318,0,6.66,2.83,4.96,7.65,14,Bottom
Kyrgyzstan,2019,66590,0,4.49,4,4.1,8.28,15,Bottom
Latvia,2019,54984,0,6.58,5.9,4.86,16.06,16,Bottom
Armenia,2019,52370,0,11.34,3.38,4.99,2.66,17,Bottom
Costa Rica,2019,48584,0,7.27,2.91,4.7,7.62,18,Bottom
Slovenia,2019,41176,392,8.52,8,5.09,13.97,19,Bottom
Singapore,2019,40576,0,4.08,4.14,4.57,9.65,20,Bottom
Iceland,2019,4552,0,8.64,8.69,4.09,11.15,21,Bottom
